"OBJECTID_1","OBJECTID","SchoolID","County","SchoolName","Address","City","State","Zipcode","Website","SchoolType","coords.x1","coords.x2"
1,1,59351,"Alamance","Alamance Christian School","1336 Town Branch Road","Graham","NC",27253,"www.alamancechristianschool.org","Religious",576251.036022859,257953.432246812
2,2,59352,"Alamance","Bible Wesleyan Chr. Sch.","106 Moore's Chapel Cemetery Rd.","Graham","NC",27253,NA,"Religious",575990.616158044,244177.032212401
3,3,59353,"Alamance","Blessed Sacrament Catholic Sch.","515 Hillcrest Avenue","Burlington","NC",27215,"www.bssknights.org","Religious",569440.534414202,260142.735286135
4,4,85552,"Alamance","Bradford Academy","939 South Third Street","Mebane","NC",27302,"www.bradfordacademy.org","Religious",584586.665257344,259052.216775531
5,5,59354,"Alamance","Burlington Christian Academy","621 E. Sixth Street","Burlington","NC",27215,"www.burlingtonchristian.org","Religious",569994.646976083,258913.985441061
6,6,59355,"Alamance","Burlington School","1615 Greenwood Terrace","Burlington","NC",27215,"ww.theburlingtonschool.org","Independent",567635.750512153,260907.678650843
7,7,79104,"Alamance","Children's House Montessori School","3750 Alamance Road","Burlington","NC",27215,"www.chmontessori.org","Independent",565740.184214174,254429.29817182
8,8,85553,"Alamance","Elon School","201 South O'Kelly Avenue","Burlington","NC",27215,"www.theelonschool.org","Independent",570130.39305256,259257.079565223
9,9,108441,"Alamance","Elon School","1615 Greenwood Terrace","Burlington","NC",27215,NA,"Religious",567635.750512153,260907.678650843
10,10,140522,"Alamance","Emma L. Broady Academy","2317 Churchill Drive","Burlington","NC",27215,NA,"Religious",566574.404769692,256561.698200703
11,11,59611,"Alamance","Friendship Christian School","2541 Elon-Ossipee Road","Elon","NC",27244,NA,"Religious",563372.67803136,267697.482162502
12,12,134880,"Alamance","Positive Day School","229 N. Graham Hopedale Rd.","Burlington","NC",27217,NA,"Religious",573048.560151786,260692.931210058
13,13,85555,"Alamance","Youth Train Ventures School","915 South Main Street","Burlington","NC",27215,NA,"Independent",569678.795855356,259648.285188472
14,14,144296,"Alexander","Alexander Christian Acad. Alt. School","61 C. I. Chatman Court","Taylorsville","NC",28681,NA,"Religious",413254.594685774,243032.770177966
15,15,144297,"Alexander","Alexander Christian Acad. at Hiddenite","PO Box 38","Hiddenite","NC",28636,NA,"Religious",420852.726652027,241011.891911313
16,16,116156,"Alexander","Alexander Christian Academy","3919 Icard Ridge Road","Hickory","NC",28601,"www.alexanderchristianacademy.com","Religious",398576.275374347,233581.180368012
17,17,85556,"Alexander","Fallow Ground Christian Academy","720 Bible Camp Lane","Taylorsville","NC",28681,NA,"Religious",407021.564663584,231642.661776815
18,18,102862,"Alexander","Walkers Day Program School","137 7th Street","Taylorsville","NC",28681,NA,"Independent",412665.420808254,242859.901122125
19,19,102222,"Alleghany","Blue Ridge Christian School","PO Box 518","Glade Valley","NC",28627,"www.blueridgechristianschool.org","Religious",429715.536385092,301594.017542416
20,20,103735,"Anson","Cornerstone Treatment Facility","129 Wallace Road","Wadesboro","NC",28170,"www.ncprtf.com","Independent",513526.381805452,135240.180016998
21,21,113738,"Anson","P. J. G. School","PO Box 84","Peachland","NC",28133,NA,"Independent",494150.061918193,138536.030251291
22,22,66132,"Anson","Revelation Academy","P.O. Box 304","Wadesboro","NC",28170,"www.revelationacademy.com","Religious",511134.534420825,135249.314345868
23,23,112062,"Avery","Bethel Christian Academy","12021  S. US 19 E.","Spruce Pine","NC",28777,"www.bethelchristianacademy.org","Religious",338054.179389252,246688.146096881
24,24,72635,"Avery","Cornerstone Christian Academy","196 Whitson Branch Road","Bakersville","NC",28705,"www.bethelmissionarybaptist church.org","Religious",317767.24285796,256664.952116711
25,25,59356,"Avery","High Country Christian School","1551 Tynecastle Highway","Banner Elk","NC",28604,NA,"Religious",352180.484487152,269951.598225253
26,26,59357,"Avery","Rainbow Christian Academy","2221 Blevins Creek Road","Elk Park","NC",28622,NA,"Religious",344552.454782476,269432.466924351
27,27,72603,"Avery","Temple Baptist Christian Academy","117 Prison Camp Road","Newland","NC",28657,NA,"Religious",341394.014047564,252090.913218725
28,28,59358,"Beaufort","Emmanuel Christian School","3078 US Highway 17 North","Washington","NC",27889,"www.emmanuelchristianschool.net","Religious",784680.535586934,206196.081259342
29,29,59359,"Beaufort","Pungo Christian Academy","983 West Main Street","Belhaven","NC",27810,"www.pungochristianacademy.com","Independent",824053.44841222,202190.447953887
30,30,59360,"Beaufort","Terra Ceia Christian School","4428 Christian School Road","Pantego","NC",27860,"www.tccschool.com","Religious",812073.052340935,207696.663787525
31,31,95173,"Beaufort","Unity Christian Academy","1501 Haw Branch Rd.","Chocowinity","NC",27817,"www.ucawarriors.com","Religious",783587.53587382,188110.302343728
32,32,101283,"Beaufort","Woolard-Paige Academy","148 Avon Avenue","Washington","NC",27889,NA,"Independent",788117.633940924,201264.783672277
33,33,59361,"Bertie","Bethel Assembly Christian Acad.","105 Askewville Bryant St.","Windsor","NC",27983,NA,"Religious",794684.382170096,263911.312852306
34,34,124649,"Bertie","Freedom Academy","1144 Hexlena Road","Aulander","NC",27805,NA,"Independent",785580.677228168,272882.481185513
35,35,59362,"Bertie","Lawrence Academy","P.O. Box 70","Merry Hill","NC",27957,"www.lawrenceacademy.org","Independent",811997.661852001,265833.733074483
36,36,108850,"Bertie","Windsor Chr. Child Develop. Ctr. Sch.","PO Box 623","Windsor","NC",27983,NA,"Religious",794171.418325522,251417.465586834
37,37,59363,"Bladen","Community Baptist Academy","3107 NC Hwy. 410 South","Bladenboro","NC",28320,NA,"Religious",629518.605226232,89537.4868729319
38,38,108104,"Bladen","Elizabethtown Christian Academy","1800 West Broad St.","Elizabethtown","NC",28337,NA,"Religious",643838.267028521,98065.178090645
39,39,94476,"Bladen","West Bank Academy","P.O. Box 1","Elizabethtown","NC",28337,NA,"Religious",645346.577485415,97142.4641701728
40,40,72604,"Brunswick","Academy of Coastal Carolina","P.O. Box 1988","Shallotte","NC",28459,"www.theacademyedu.com","Independent",666900.53350553,25896.3101395145
41,41,59379,"Burke","Morganton Christian Academy","201 Believer's Way","Morganton","NC",28655,"www.morgantonchristian.com","Religious",369819.708615359,221776.836112751
42,42,85557,"Brunswick","Atlas Day Treatment Sch at Trinity","P.O. Box 717","Leland","NC",28451,"www.wolocapefear.org","Independent",699077.267383753,56202.7518552858
43,43,133776,"Brunswick","Canipe Academy","368 Fairway Dr Boiling Spring Lakes","Southport","NC",28461,NA,"Religious",696963.452165031,31358.9048833773
44,44,59682,"Brunswick","Evelyn Smith Wray Village School","720 Whiteville Road NW","Shallotte","NC",28470,"www.thevillagecampus.org","Independent",663452.522064595,25911.5187860671
45,45,135360,"Cumberland","God's Heritage Christian Academy","PO Box 65553","Fayetteville","NC",28303,NA,"Religious",614635.947046354,148675.29937706
46,46,59377,"Burke","Morganton Day School","305 West Concord Street","Morganton","NC",28655,"www.morgantondayschool.com","Independent",366413.066261776,224150.436947832
47,47,108105,"Brunswick","Holden Beach Christian Acad.","2428 Seashore Rd.","Supply","NC",28462,NA,"Religious",673038.744660209,19465.8426731043
48,48,59248,"Cumberland","Greater Fayetteville Adventist Acad.","2601 Lone Pine Drive","Fayetteville","NC",28306,NA,"Religious",617996.719898816,140861.811727768
49,49,92065,"Burke","Reflections of Christ Christian Acad","110 Third Street SE","Hildebran","NC",28637,"www.rocca.webstarts.com","Religious",391090.89430135,220421.909454374
50,50,120651,"Brunswick","Kids Connection School","PO Box 2587","Shallotte","NC",28459,NA,"Independent",666900.53350553,25896.3101395145
51,51,59403,"Cumberland","Guy Schools","985 S. McPherson Church Rd.","Fayetteville","NC",28303,NA,"Independent",615436.013498286,143766.630333787
52,52,59378,"Burke","Silver Creek SDA School","2195 Jamestown Road","Morganton","NC",28655,"www.silvercreekadventistschool.org","Religious",357162.352469993,220117.974606708
53,53,59253,"Brunswick","L & L Montessori School","4150 Vanessa Drive","Southport","NC",28461,"www.llmontessori.net","Independent",695827.472346743,20229.1593666393
54,54,103228,"Burke","Valley View Day Program School","2130 Highway 18 US 64","Morganton","NC",28655,NA,"Independent",366565.063733833,224518.279068084
55,55,59689,"Cumberland","Harvest Preparatory Academy","P.O. Box 2391","Fayetteville","NC",28312,"www.harvestpreparatoryacademy.org","Religious",623431.529553539,143075.608262384
56,56,66134,"Brunswick","Leland Christian Academy","517 Village Road","Leland","NC",28451,"www.lelandchristian.org","Religious",700621.25172451,54948.2812083252
57,57,85558,"Cabarrus","C3 Concord Christian School","265 Manor Avenue","Concord","NC",28025,"www.concordchristian.com","Religious",467149.128260466,182429.828939825
58,58,59776,"Cumberland","LEJ Diagnostic Ctr for Dev Studies","2620-C Bragg Blvd","Fayetteville","NC",28303,NA,"Independent",616575.162396055,146708.267175799
59,59,108106,"Brunswick","Ocean Aire Academy","6570 Ocean Aire Rd SW","Ocean Isle Beach","NC",28469,NA,"Religious",659723.189769802,17850.8187222145
60,60,59435,"Forsyth","Gospel Light Christian School","PO Box 70","Walkertown","NC",27051,"www.glcslions.org","Religious",505624.790653652,269028.658870293
61,61,59748,"Cumberland","Liberty Christian Academy","6548 Rockfish Road","Fayetteville","NC",28306,"www.lcknights.com","Religious",610707.624009344,136175.117358925
62,62,100549,"Brunswick","River Heights Cottage School","414 Lightwood Lane","Shallotte","NC",28470,NA,"Religious",667213.375616259,24491.1415457465
63,63,59322,"Forsyth","Greenhills School","1360 Lyndale Drive","Winston-Salem","NC",27106,"www.greenhillsschool.ws","Independent",485928.244956028,263407.887958229
64,64,98800,"Cumberland","McLauchlin Academy","8212 Ella Mae Dr.","Fayetteville","NC",28314,NA,"Independent",602625.049984037,144382.989992375
65,65,59805,"Brunswick","Southeastern Christian Academy","P.O. Box 2328","Shallotte","NC",28459,"www.scashallotte.org","Religious",666900.53350553,25896.3101395145
66,66,59380,"Cabarrus","Cannon School","5801 Poplar Tent Road","Concord","NC",28027,"www.cannonschool.org","Independent",457426.82177138,185142.489080647
67,67,59348,"Cumberland","Montessori School","P.O. Box 40138","Fayetteville","NC",28309,"www.fayettevillemontessori.com","Independent",613531.099706828,143471.167527007
68,68,59614,"Brunswick","Southport Christian School","4457-A Flagship Ave SE","Southport","NC",28461,"www.southportchristian.com","Religious",696400.455742534,21701.2621316649
69,69,59315,"Forsyth","Jefferson Day School","P.O. Box 25286","Winston-Salem","NC",27101,"www.jeffersondayschool.org","Independent",497247.090215998,260980.295612121
70,70,59744,"Cumberland","New Life Christian Acad & Prep Sch","1420 Hoke Loop Road","Fayetteville","NC",28314,"www.newlifechristianacademync.org","Religious",602758.011354357,144324.061403211
71,71,59714,"Forsyth","Kingswood School","1001 Reynolda Road","Winston-Salem","NC",27104,"www.tchome.org","Religious",495698.468859461,261960.97402535
72,72,92063,"Brunswick","Strategic Academy","2050 Mercantile Drive","Leland","NC",28451,"www.strategicbh.com","Independent",695778.990424427,57190.2742886376
73,73,59850,"Cumberland","Northview Baptist Academy","7455 Ramsey Street","Fayetteville","NC",28311,"www.northviewbaptistacademy.org","Religious",623301.093648914,160349.384102797
74,74,59381,"Cabarrus","cfa Academy","154 Warren C. Coleman Blvd.","Concord","NC",28027,"www.cfaacademy.org","Religious",463502.117464254,184370.101269692
75,75,72620,"Forsyth","Montessori School of Winston-Salem","6050 Holder Road","Clemmons","NC",27012,"www.wsmontessori.org","Independent",485806.974501192,257786.460559227
76,76,59612,"Brunswick","West Christian Academy","P.O. Box 2250","Shallotte","NC",28459,"www.westchristianacademync.com","Religious",666900.53350553,25896.3101395145
77,77,59405,"Cumberland","Northwood Temple Academy","4200 Ramsey Street","Fayetteville","NC",28311,"www.ntaeagles.org","Religious",620549.444511303,151714.998924712
78,78,59699,"Cabarrus","Charlotte Islamic Academy","8810 Hickory Ridge Road","Harrisburg","NC",28075,"www.ciacademy.us","Religious",461827.076274726,172593.631618906
79,79,59717,"Buncombe","Adonai Christian Academy","119 Cumberland Avenue","Asheville","NC",28801,NA,"Religious",287027.551148342,211141.123726603
80,80,59437,"Forsyth","Our Lady of Mercy Catholic Sch","1730 Link Road","Winston-Salem","NC",27103,"www.ourladyofmercyschool.org","Religious",495955.271949771,258168.6767313
81,81,115765,"Cumberland","Omega Academy","345 Devers Street #2","Fayetteville","NC",28303,NA,"Independent",616662.953371023,146314.655160177
82,82,59341,"Buncombe","Arden Christian School","2568 Hendersonville Road","Arden","NC",28704,NA,"Religious",291045.731548626,194516.849300431
83,83,92075,"Cumberland","Parks Chapel Christian Academy","2503 Murchison Road","Fayetteville","NC",28301,NA,"Religious",617909.456135124,148562.011151753
84,84,115836,"Cabarrus","Connect Christian School","3101 Davidson Hwy.","Concord","NC",28027,NA,"Religious",461455.120347695,188029.600210637
85,85,59242,"Forsyth","Redeemer School","1046 Miller Street","Winston-Salem","NC",27103,"www.redeemerschool.org","Religious",494900.447187923,259127.329641912
86,86,59364,"Buncombe","Asheville Catholic School","12 Culvern Street","Asheville","NC",28804,"www.ashevillecatholic.org","Religious",288025.628569837,214436.559421808
87,87,85566,"Cumberland","Renaissance Classical Academy","6427 Cliffdale Road","Fayetteville","NC",28314,"www.rccaonline.com","Religious",610159.137462643,145118.567419235
88,88,59616,"Cabarrus","Covenant Classical School","3200 Patrick Henry Drive","Concord","NC",28027,"www.covenantclassical.org","Religious",461337.400873189,188058.398605956
89,89,109026,"Forsyth","S.T.A.R. School","1001 Reynolda Road","Winston-Salem","NC",27104,NA,"Independent",495698.468859461,261960.97402535
90,90,94935,"Cabarrus","Daniel Academy","681 Sunderland Road SW","Concord","NC",28027,"www.tda-concord.com","Religious",464283.538084126,183326.022983836
91,91,130719,"Cumberland","Riverside Christian Academy","2010 Middle River Loop","Fayetteville","NC",28312,"www.reanc.us","Religious",623396.005495119,145282.266782045
92,92,59365,"Buncombe","Asheville Christian Academy","P.O. Box 1089","Swannanoa","NC",28778,"www.ACAcademy.org","Religious",301433.37881602,210717.509277405
93,93,59438,"Forsyth","Salem Academy","500 East Salem Avenue","Winston-Salem","NC",27101,"www.salemacademy.com","Independent",498188.933002157,260046.578397749
94,94,138734,"Cabarrus","Faith Christian Academy","904 Chipola Street","Kannapolis","NC",28083,NA,"Religious",463734.772345763,194678.320356008
95,95,85567,"Cumberland","Second Chance Learning Center","P.O. Box 25122","Fayetteville","NC",28314,NA,"Religious",609061.885605541,145457.913761904
96,96,59366,"Buncombe","Asheville School","360 Asheville School Road","Asheville","NC",28806,"www.ashevilleschool.org","Independent",281546.589467707,207706.76000274
97,97,92066,"Cabarrus","Franklin Heights Christian Acad.","526 Wright Avenue","Kannapolis","NC",28083,"www.franklinheightschristianacademy.com","Religious",465299.918722217,195493.404961154
98,98,59406,"Cumberland","St. Ann Catholic School","365 N. Cool Spring Street","Fayetteville","NC",28301,"www.stanncatholicschool.net","Religious",621115.346183453,144868.323507216
99,99,59407,"Cumberland","St. Patrick Catholic School","1620 Marlborough Road","Fayetteville","NC",28304,"www.stpatrickschoolnc.org","Religious",616723.171699332,142460.297598816
100,100,59844,"Cabarrus","Harvest Christian Academy","P.O. Box 1095","Kannapolis","NC",28082,NA,"Religious",460940.258444903,194901.864343911
101,101,85568,"Cumberland","Stedman Christian Academy","P.O. Box 396","Stedman","NC",28391,"stedmanphchurch.com","Religious",637276.562793564,139570.55341292
102,102,101699,"Cabarrus","Hope Academy","7655 Bruton Smith Blvd.","Concord","NC",28027,"www.hopek12.com","Religious",454643.318405179,180281.90055792
103,103,79111,"Cumberland","Temple Christian Academy","3159 Sanderosa Road","Fayetteville","NC",28312,NA,"Religious",628986.987111679,147190.500279898
104,104,100547,"Cabarrus","Kids 'R' Kids Schs Quality Lrng 13","320 Coddle Market Dr.","Concord","NC",28027,"www.krkconcord.com","Independent",458571.620630205,185401.353910739
105,105,59297,"Cumberland","Trinity Christian School","3727 Rosehill Road","Fayetteville","NC",28311,"www.trinitycommunityservices.org","Religious",618281.292193661,151115.600890076
