"OBJECTID","LEA_SCHOOL","PTMOVED","COMMENTS","REVIEWED","SCHOOL_NAM","PRINCIPAL","STREET_LON","PHYS_ADDR","PHYS_CITY","PHYS_ZIP","PHONE","MAIL_ADDR","MAIL_CITY","MAIL_ZIP","FAX","URL_ADDRES","COUNTY","ACCR_STAT","SCH_DESG","SCH_TYPE","SCH_PTYPE","SCH_CTYPE","EXT_HOURS","NUM_TEACH","BGN_GRADE","END_GRADE","PRE_K","ELEM","MIDDLE","HIGH","EARLY_COLL","coords.x1","coords.x2"
1,"70310","yes, 2012","across town","1","B C Ed Tech Center","Willard Bryant","820 North Bridge St","820 North Bridge St","Washington",27899,"2529465382","820 North Bridge St",NA,0,"2529467964","http://beaufort.etc.schoolfusion.us/","Beaufort",NA,"Public","Alternative Education","Cooperative Innovative HS","Traditional","-",9,"06","12",NA,NA,"yes","yes",NA,785821.4102,201698.585000001
2,"70340","yes, 2012","down the street","1","S W Snowden Elementary","Melissa Dana","6921 NC 306 North","693 North 7th Street","Aurora",27806,"2523225351","693 North 7th Street",NA,0,"2523224372","http://beaufort.sws.schoolfusion.us/","Beaufort","SA","Public","Regular School","None","Traditional","-",15,"PK","08","yes","yes","yes",NA,NA,810380.345200002,174896.7084
3,"70326",NA,NA,NA,"Chocowinity Primary","Alicia Vosburgh","606 Gray Road","606 Gray Road","Chocowinity",27817,"2529463881","606 Gray Road",NA,0,"2529464869","http://beaufort.cps.schoolfusion.us/","Beaufort","SA","Public","Regular School","None","Traditional","-",33,"PK","04","yes","yes",NA,NA,NA,782515.187299997,195663.578299999
4,"70308",NA,"point verified","1","Bath Elementary","Pamela Hodges","110 S King Street","110 S King Street","Bath",27808,"2529233251","110 S King Street",NA,0,"0","http://beaufort.bath.schoolfusion.us/","Beaufort","SA","Public","Regular School","None","Traditional","-",39,"KG","08",NA,NA,"yes",NA,NA,808252.374799997,193633.7346
5,"740309",NA,NA,NA,"AydenGrifton High","Marty Baker","7653 NC 11 South","7653 NC 11 South","Ayden",28513,"2527464183","7653 NC 11 South","Ayden",28513,"2527462120","http://www.pitt.k12.nc.us","Pitt","SA","Public","Regular School","None","Traditional","-",48,"09","12",NA,NA,NA,"yes",NA,752035.937600002,187506.921999998
6,"740308",NA,NA,NA,"Ayden Middle","Jeff Theus","192 Third St","192 Third St","Ayden",28513,"2527463672","192 Third St","Ayden",28513,"2527469923","http://www.pitt.k12.nc.us","Pitt","SA","Public","Regular School","None","Traditional","-",26,"06","08",NA,NA,"yes",NA,NA,751662.875100002,192113.5625
7,"740302",NA,NA,NA,"A G Cox Middle","Tracy Cole","2657 Church Street","2657 Church Street","Winterville",28590,"2527563105","PO Box 1489","Winterville",28590,"2527561081","http://www.pitt.k12.nc.us","Pitt","SA","Public","Regular School","None","Traditional","-",50,"06","08",NA,NA,"yes",NA,NA,754622.812399998,198028.203299999
8,"740338",NA,"point verified","1","Elmhurst Elementary","Donna Gillam","1815 W Berkley Rd","1815 W Berkley Rd","Greenville",27858,"2527560180","1815 W Berkley Rd","Greenville",27858,"2527560513","http://www.pitt.k12.nc.us","Pitt","SA","Public","Regular School","None","Traditional","-",27,"KG","05",NA,"yes",NA,NA,NA,757929.999799997,205991.859299999
9,"740334",NA,NA,NA,"Falkland Elementary","Shammah Barrett","503 NC 121","503 NC 121","Greenville",27834,"2527527820","503 NC 121","Greenville",27834,"2527523017","http://www.pitt.k12.nc.us","Pitt","SA","Public","Regular School","None","Traditional","-",27,"KG","05",NA,"yes",NA,NA,NA,746522.0625,214003.8281
10,"740332",NA,NA,NA,"Chicod Elementary","Seth Brown","7557 NC 43 South","7557 NC 43 South","Greenville",27834,"2527466742","7557 NC 43 South","Greenville",27834,"2527464751","http://www.pitt.k12.nc.us","Pitt","SA","Public","Regular School","None","Traditional","-",66,"PK","08","yes","yes","yes",NA,NA,766304.875200003,191503.296700001
11,"740352",NA,NA,NA,"Grifton Elementary","Will Sanderson","513 E McCrae Street","513 E McCrae Street","Grifton",28530,"2525245141","PO Box 219","Grifton",28530,"2525244505","http://www.pitt.k12.nc.us","Pitt","SA","Public","Regular School","None","Traditional","-",37,"PK","08","yes","yes","yes",NA,NA,752046.937399998,181088.625100002
