"SchoolName","Address","City","Zipcode","County","geometry"
"B C Ed Tech Center","820 North Bridge St","Washington",27899,"Beaufort",c(785821.4102, 201698.585000001)
"S W Snowden Elementary","693 North 7th Street","Aurora",27806,"Beaufort",c(810380.345200002, 174896.7084)
"Chocowinity Primary","606 Gray Road","Chocowinity",27817,"Beaufort",c(782515.187299997, 195663.578299999)
"Bath Elementary","110 S King Street","Bath",27808,"Beaufort",c(808252.374799997, 193633.7346)
"AydenGrifton High","7653 NC 11 South","Ayden",28513,"Pitt",c(752035.937600002, 187506.921999998)
"Ayden Middle","192 Third St","Ayden",28513,"Pitt",c(751662.875100002, 192113.5625)
"A G Cox Middle","2657 Church Street","Winterville",28590,"Pitt",c(754622.812399998, 198028.203299999)
"Elmhurst Elementary","1815 W Berkley Rd","Greenville",27858,"Pitt",c(757929.999799997, 205991.859299999)
"Falkland Elementary","503 NC 121","Greenville",27834,"Pitt",c(746522.0625, 214003.8281)
"Chicod Elementary","7557 NC 43 South","Greenville",27834,"Pitt",c(766304.875200003, 191503.296700001)
"Grifton Elementary","513 E McCrae Street","Grifton",28530,"Pitt",c(752046.937399998, 181088.625100002)
"Farmville Middle","3914 Grimmersburg Street","Farmville",27828,"Pitt",c(738963.625, 205424.484299999)
"Farmville Central High","3308 E Wilson Street","Farmville",27828,"Pitt",c(739292.375200003, 205474.7502)
"G R Whitfield","4839 School Road","Grimesland",27837,"Pitt",c(774452.75, 202767.187399998)
"North Pitt High","5659 NC 11 North","Bethel",27812,"Pitt",c(757658.999799997, 222804.7344)
"Bethel Elementary","210 E Washington Rd","Bethel",27812,"Pitt",c(756835.374899998, 229298.906100001)
"Pactolus Elementary","3405 Yankee Hall Road","Greenville",27834,"Pitt",c(770475.4375, 209186.656399999)
"Stokes Elementary","2683 NC 903 North","Stokes",27884,"Pitt",c(766349.75, 219343.281100001)
"SmithfieldSelma High","700 Booker Dairy Rd","Smithfield",27577,"Johnston",c(670885.624899998, 197610.8906)
"Smithfield Middle","1455 Buffalo Rd","Smithfield",27577,"Johnston",c(669907.249899998, 197530.968800001)
"Selma Middle School","1533 Hwy 301 N","Selma",27576,"Johnston",c(675361.437700003, 199931.2502)
"South Campus Community High","521 Martin Luther King Jr Dr","Smithfield",27577,"Johnston",c(669450.874899998, 194548.312399998)
"Princeton High","101 Dr Donnie H Jones Jr Bvd","Princeton",27569,"Johnston",c(686057.437399998, 190901.218800001)
"MicroPine Level Elementary","304 Blanche Street","Pine Level",27568,"Johnston",c(677821.375, 195748.8125)
"Four Oaks Elementary","180 Hatcher St","Four Oaks",27524,"Johnston",c(661009.8125, 188769.624899998)
"North Johnston Middle","301 E Main St","Micro",27555,"Johnston",c(681973.437299997, 200943.093800001)
