LEA Code,School Code,LEA Name,School Name,Total,Female,Male,Asian,Black,Hispanic,American Indian,Two or More Races,Native Hawaiian/ Pacific Islander,White,SCHOOL CODE
SEA,,North Carolina Public Schools,State Totals,7935,2843,5092,86,2364,2456,109,356,16,2548,SEA
00B,LEA,NC Virtual Academy,LEA Totals,8,4,4,.,1,1,.,2,.,4,00BLEA
010,LEA,Alamance-Burlington Schools,LEA Totals,148,55,93,.,27,58,.,10,.,53,010LEA
010,324,Alamance-Burlington Schools,Eastern Alamance High,29,10,19,.,7,5,.,1,.,16,010324
010,326,Alamance-Burlington Schools,Eastlawn Elementary,1,1,.,.,.,.,.,1,.,.,010326
010,348,Alamance-Burlington Schools,Graham High,37,11,26,.,5,23,.,3,.,6,010348
010,351,Alamance-Burlington Schools,Grove Park Elementary,5,2,3,.,4,.,.,.,.,1,010351
010,360,Alamance-Burlington Schools,Hugh M Cummings High,20,10,10,.,2,13,.,2,.,3,010360
010,378,Alamance-Burlington Schools,Ray Street Academy,3,<10,2,.,2,<10,.,.,.,.,010378
010,388,Alamance-Burlington Schools,Southern Alamance High,15,8,7,.,.,2,.,.,.,13,010388
010,390,Alamance-Burlington Schools,Southern Alamance Middle,1,1,.,.,.,1,.,.,.,.,010390
010,394,Alamance-Burlington Schools,Turrentine Middle,1,1,.,.,.,1,.,.,.,.,010394
010,396,Alamance-Burlington Schools,Walter M Williams High,21,6,15,.,6,9,.,1,.,5,010396
010,400,Alamance-Burlington Schools,Western Alamance High,15,4,11,.,1,3,.,2,.,9,010400
020,LEA,Alexander County Schools,LEA Totals,18,4,14,.,.,2,.,.,.,16,020LEA
020,302,Alexander County Schools,Alexander Central High,17,3,14,.,.,2,.,.,.,15,020302
020,303,Alexander County Schools,Alexander Early College,1,1,.,.,.,.,.,.,.,1,020303
030,LEA,Alleghany County Schools,LEA Totals,7,3,4,.,.,3,.,.,.,4,030LEA
030,304,Alleghany County Schools,Alleghany High,6,3,3,.,.,2,.,.,.,4,030304
030,320,Alleghany County Schools,Sparta Elementary,1,.,1,.,.,1,.,.,.,.,030320
040,LEA,Anson County Schools,LEA Totals,15,3,12,.,4,2,.,.,.,9,040LEA
040,306,Anson County Schools,Anson High School,11,2,9,.,2,2,.,.,.,7,040306
040,309,Anson County Schools,Anson Middle,4,1,3,.,2,.,.,.,.,2,040309
050,LEA,Ashe County Schools,LEA Totals,1,1,.,.,.,1,.,.,.,.,050LEA
050,305,Ashe County Schools,Ashe County Middle,1,1,.,.,.,1,.,.,.,.,050305
060,LEA,Avery County Schools,LEA Totals,10,1,9,.,.,2,.,.,.,8,060LEA
060,302,Avery County Schools,Avery County High,7,.,7,.,.,2,.,.,.,5,060302
060,334,Avery County Schools,Blue Ridge Academy,3,<10,2,.,.,.,.,.,.,3,060334
06B,LEA,Williams Academy (fka Crossnore),LEA Totals,3,3,.,.,.,.,.,.,.,3,06BLEA
070,LEA,Beaufort County Schools,LEA Totals,34,11,23,.,9,6,<10,3,.,14,070LEA
070,310,Beaufort County Schools,B C Ed Tech Center,9,4,5,.,1,<10,<10,.,.,5,070310
070,327,Beaufort County Schools,John C Tayloe Elementary,1,1,.,.,1,.,.,.,.,.,070327
070,330,Beaufort County Schools,Northside High,7,1,6,.,1,1,.,1,.,4,070330
070,338,Beaufort County Schools,P S Jones Middle,1,.,1,.,1,.,.,.,.,.,070338
070,339,Beaufort County Schools,Southside High,2,.,2,.,.,.,.,.,.,2,070339
070,342,Beaufort County Schools,Washington High,14,5,9,.,5,4,.,2,.,3,070342
080,LEA,Bertie County Schools,LEA Totals,14,4,10,.,10,1,<10,.,.,2,080LEA
080,312,Bertie County Schools,Bertie High,14,4,10,.,10,1,<10,.,.,2,080312
090,LEA,Bladen County Schools,LEA Totals,16,8,8,.,5,1,.,1,.,9,090LEA
090,330,Bladen County Schools,East Bladen High,5,2,3,.,3,.,.,.,.,2,090330
090,365,Bladen County Schools,Tar Heel Middle,1,1,.,.,.,.,.,.,.,1,090365
090,368,Bladen County Schools,West Bladen High,10,5,5,.,2,1,.,1,.,6,090368
09A,LEA,Paul R Brown Leadership Academy,LEA Totals,1,.,1,.,1,.,.,.,.,.,09ALEA
100,LEA,Brunswick County Schools,LEA Totals,92,44,48,1,12,16,.,4,.,59,100LEA
100,307,Brunswick County Schools,Brunswick County Early College,1,1,.,.,.,1,.,.,.,.,100307
100,308,Brunswick County Schools,The COAST,1,.,1,.,.,.,.,.,.,1,100308
100,326,Brunswick County Schools,North Brunswick High,29,17,12,.,9,6,.,2,.,12,100326
100,334,Brunswick County Schools,South Brunswick High,33,14,19,.,1,2,.,2,.,28,100334
100,348,Brunswick County Schools,West Brunswick High,28,12,16,1,2,7,.,.,.,18,100348
110,LEA,Buncombe County Schools,LEA Totals,96,17,79,.,10,17,1,7,1,60,110LEA
110,303,Buncombe County Schools,Community High School,17,1,16,.,1,1,.,1,<10,13,110303
110,304,Buncombe County Schools,Reynolds High,15,2,13,.,.,1,.,1,.,13,110304
110,322,Buncombe County Schools,Early College,1,1,.,.,.,.,.,.,.,1,110322
110,323,Buncombe County Schools,Middle College,3,1,2,.,.,.,.,.,.,3,110323
110,336,Buncombe County Schools,Owen High,5,1,4,.,1,1,.,.,.,3,110336
110,340,Buncombe County Schools,Erwin High,19,2,17,.,3,6,.,.,.,10,110340
110,352,Buncombe County Schools,Enka High,16,6,10,.,2,2,.,1,.,11,110352
110,380,Buncombe County Schools,North Buncombe High,7,1,6,.,1,1,<10,1,.,3,110380
110,416,Buncombe County Schools,Roberson High,13,2,11,.,2,5,.,3,.,3,110416
111,LEA,Asheville City Schools,LEA Totals,21,5,16,.,7,3,.,5,.,6,111LEA
111,302,Asheville City Schools,Asheville High,19,5,14,.,7,3,.,4,.,5,111302
111,700,Asheville City Schools,School of Inquiry and Life Sciences,2,.,2,.,.,.,.,1,.,1,111700
11D,LEA,The Franklin School of Innovation,LEA Totals,4,1,3,.,.,1,.,.,.,3,11DLEA
120,LEA,Burke County Schools,LEA Totals,59,25,34,1,1,22,.,3,1,31,120LEA
120,308,Burke County Schools,Hallyburton Academy,21,8,13,.,<10,3,.,<10,.,15,120308
120,314,Burke County Schools,East Burke High,6,2,4,1,.,1,.,.,.,4,120314
120,318,Burke County Schools,Freedom High,26,13,13,.,.,18,.,1,<10,6,120318
120,346,Burke County Schools,Jimmy C Draughn High School,6,2,4,.,.,.,.,.,.,6,120346
130,LEA,Cabarrus County Schools,LEA Totals,160,46,114,.,52,47,1,7,.,53,130LEA
130,304,Cabarrus County Schools,A T Allen Elementary,2,1,1,.,1,1,.,.,.,.,130304
130,307,Cabarrus County Schools,Cox Mill High School,10,3,7,.,2,2,.,.,.,6,130307
130,308,Cabarrus County Schools,Bethel Elementary,2,2,.,.,.,2,.,.,.,.,130308
130,309,Cabarrus County Schools,Beverly Hills Elementary,1,.,1,.,.,1,.,.,.,.,130309
130,310,Cabarrus County Schools,Central Cabarrus High,22,9,13,.,3,10,.,1,.,8,130310
130,313,Cabarrus County Schools,Concord Middle,8,2,6,.,4,3,.,.,.,1,130313
130,314,Cabarrus County Schools,Concord High,17,4,13,.,6,6,.,1,.,4,130314
130,315,Cabarrus County Schools,J N Fries Magnet School,1,1,.,.,1,.,.,.,.,.,130315
130,316,Cabarrus County Schools,Jay M Robinson High,16,4,12,.,7,6,.,.,.,3,130316
130,317,Cabarrus County Schools,Cabarrus Co Opportunity School,23,3,20,.,12,8,.,<10,.,2,130317
130,318,Cabarrus County Schools,C C Griffin Middle,7,1,6,.,5,.,.,1,.,1,130318
130,319,Cabarrus County Schools,Cox Mill Elementary,1,1,.,.,.,.,.,1,.,.,130319
130,323,Cabarrus County Schools,Mount Pleasant Middle,3,.,3,.,.,.,.,.,.,3,130323
130,324,Cabarrus County Schools,Mount Pleasant High,5,.,5,.,.,.,.,.,.,5,130324
130,326,Cabarrus County Schools,Northwest Cabarrus High,7,3,4,.,.,2,.,.,.,5,130326
130,327,Cabarrus County Schools,Northwest Cabarrus Middle,2,.,2,.,2,.,.,.,.,.,130327
130,328,Cabarrus County Schools,Royal Oaks Elementary,2,1,1,.,2,.,.,.,.,.,130328
130,330,Cabarrus County Schools,R Brown  McAllister Elementary,2,.,2,.,1,.,.,.,.,1,130330
130,332,Cabarrus County Schools,Hickory Ridge High,11,4,7,.,1,2,1,.,.,7,130332
130,333,Cabarrus County Schools,Performance Learning Center,6,4,2,.,1,3,.,.,.,2,130333
130,340,Cabarrus County Schools,Winecoff Elementary,3,1,2,.,2,.,.,.,.,1,130340
130,342,Cabarrus County Schools,W M Irvin Elementary,4,2,2,.,.,.,.,1,.,3,130342
130,344,Cabarrus County Schools,Wolf Meadow Elementary,2,.,2,.,1,1,.,.,.,.,130344
130,346,Cabarrus County Schools,Hickory Ridge Middle,1,.,1,.,.,.,.,1,.,.,130346
130,355,Cabarrus County Schools,Harold E. Winkler Middle,2,.,2,.,1,.,.,.,.,1,130355
132,LEA,Kannapolis City Schools,LEA Totals,33,12,21,1,3,13,.,2,.,14,132LEA
132,304,Kannapolis City Schools,A L Brown High,33,12,21,1,3,13,.,2,.,14,132304
140,LEA,Caldwell County Schools,LEA Totals,55,28,27,.,2,6,.,.,.,47,140LEA
140,306,Caldwell County Schools,Gateway School,10,<10,7,.,<10,.,.,.,.,9,140306
140,348,Caldwell County Schools,Hibriten High,8,4,4,.,.,.,.,.,.,8,140348
140,386,Caldwell County Schools,South Caldwell High,24,15,9,.,.,3,.,.,.,21,140386
140,390,Caldwell County Schools,West Caldwell High,13,6,7,.,1,3,.,.,.,9,140390
150,LEA,Camden County Schools,LEA Totals,4,.,4,.,1,.,.,.,.,3,150LEA
150,304,Camden County Schools,Camden County High,4,.,4,.,1,.,.,.,.,3,150304
160,LEA,Carteret County Public Schools,LEA Totals,28,9,19,.,1,1,.,2,.,24,160LEA
160,313,Carteret County Public Schools,East Carteret High,5,4,1,.,.,.,.,.,.,5,160313
160,314,Carteret County Public Schools,Croatan High,2,.,2,.,.,.,.,.,.,2,160314
160,344,Carteret County Public Schools,West Carteret High,21,5,16,.,1,1,.,2,.,17,160344
170,LEA,Caswell County Schools,LEA Totals,15,7,8,.,4,3,.,.,.,8,170LEA
170,316,Caswell County Schools,Bartlett Yancey High,15,7,8,.,4,3,.,.,.,8,170316
180,LEA,Catawba County Schools,LEA Totals,81,37,44,1,7,7,.,8,.,58,180LEA
180,308,Catawba County Schools,Bandys High,17,6,11,.,.,1,.,1,.,15,180308
180,320,Catawba County Schools,Bunker Hill High,18,9,9,.,1,1,.,3,.,13,180320
180,340,Catawba County Schools,Fred T Foard High,11,6,5,.,.,.,.,1,.,10,180340
180,348,Catawba County Schools,Maiden High,15,7,8,1,1,1,.,2,.,10,180348
180,376,Catawba County Schools,Saint Stephens High,20,9,11,.,5,4,.,1,.,10,180376
181,LEA,Hickory City Schools,LEA Totals,13,6,7,.,4,1,.,2,.,6,181LEA
181,318,Hickory City Schools,Hickory Career  Arts Magnet High School,1,1,.,.,.,.,.,1,.,.,181318
181,322,Hickory City Schools,Hickory High,12,5,7,.,4,1,.,1,.,6,181322
182,LEA,Newton Conover City Schools,LEA Totals,8,1,7,.,1,3,.,.,.,4,182LEA
182,316,Newton Conover City Schools,Newton-Conover High,8,1,7,.,1,3,.,.,.,4,182316
190,LEA,Chatham County Schools,LEA Totals,39,22,17,.,4,23,.,1,.,11,190LEA
190,310,Chatham County Schools,SAGE Academy,<10,.,<10,.,.,<10,.,.,.,.,190310
190,316,Chatham County Schools,Chatham Central High,6,5,1,.,1,2,.,.,.,3,190316
190,336,Chatham County Schools,Jordan Matthews High,20,10,10,.,1,14,.,1,.,4,190336
190,342,Chatham County Schools,Northwood High,11,7,4,.,2,5,.,.,.,4,190342
