SCHOOL CODE,SCHOOL NAME,SCHOOL LEVEL,FREE and REDUCED,FR PERCENTAGE,,,,,,,,,,,,,,,,
920303,Abbotts Creek Elementary,E,212, 24.8%,,,,,,,,,,,,,,,,
920304,Adams Elementary,E,209, 39.6%,,,,,,,,,,,,,,,,
920307,Alston Ridge Elementary,E,91,  8.8%,,,,,,,,,,,,,,,,
920309,Alston Ridge Middle,M,174, 14.0%,,,,,,,,,,,,,,,,
920308,Apex Elementary,E,158, 24.8%,,,,,,,,,,,,,,,,
920317,Apex Friendship High,H,216,  7.9%,,,,,,,,,,,,,,,,
920315,Apex Friendship Middle,M,110,  8.6%,,,,,,,,,,,,,,,,
920316,Apex High,H,330, 14.7%,,,,,,,,,,,,,,,,
920312,Apex Middle,M,164, 17.5%,,,,,,,,,,,,,,,,
920318,Athens Drive High,H,656, 31.7%,,,,,,,,,,,,,,,,
920320,Aversboro Elementary,E,208, 51.6%,,,,,,,,,,,,,,,,
920326,Baileywick Road Elementary,E,167, 46.0%,,,,,,,,,,,,,,,,
920327,Ballentine Elementary,E,119, 19.2%,,,,,,,,,,,,,,,,
920325,Banks Road Elementary,E,214, 33.5%,,,,,,,,,,,,,,,,
920329,Barwell Road Elementary,E,478, 71.1%,,,,,,,,,,,,,,,,
920328,Baucom Elementary,E,133, 20.0%,,,,,,,,,,,,,,,,
920332,Beaverdam Elementary,E,401, 58.5%,,,,,,,,,,,,,,,,
920334,Brassfield Elementary,E,149, 22.5%,,,,,,,,,,,,,,,,
920336,Brentwood Elementary,E,228, 58.8%,,,,,,,,,,,,,,,,
920340,Briarcliff Elementary,E,120, 26.4%,,,,,,,,,,,,,,,,
920342,Brier Creek Elementary,E,249, 37.6%,,,,,,,,,,,,,,,,
920344,Brooks Elementary,E,194, 35.6%,,,,,,,,,,,,,,,,
920348,Broughton High,H,450, 22.0%,,,,,,,,,,,,,,,,
920349,Bryan Road Elementary,E,195, 41.7%,,,,,,,,,,,,,,,,
920351,Buckhorn Creek Elementary,E,169, 25.9%,,,,,,,,,,,,,,,,
920352,Bugg Elementary,E,184, 70.8%,,,,,,,,,,,,,,,,
920356,Carnage Middle,M,277, 30.3%,,,,,,,,,,,,,,,,
920358,Carpenter Elementary,E,144, 22.0%,,,,,,,,,,,,,,,,
920360,Carroll Middle,M,455, 46.0%,,,,,,,,,,,,,,,,
920362,Carver Elementary,E,220, 53.8%,,,,,,,,,,,,,,,,
920364,Cary Elementary,E,119, 27.1%,,,,,,,,,,,,,,,,
920368,Cary High,H,559, 27.4%,,,,,,,,,,,,,,,,
920369,Cedar Fork Elementary,E,104, 12.9%,,,,,,,,,,,,,,,,
920370,Centennial Campus Middle,M,295, 52.2%,,,,,,,,,,,,,,,,
920376,Combs Elementary,E,215, 31.8%,,,,,,,,,,,,,,,,
920380,Conn Elementary,E,192, 43.2%,,,,,,,,,,,,,,,,
920384,Creech Road Elementary,E,319, 64.2%,,,,,,,,,,,,,,,,
920386,Crossroads FLEX,H,3,  2.0%,,,,,,,,,,,,,,,,
920390,Davis Drive Elementary,E,28,  3.5%,,,,,,,,,,,,,,,,
920391,Davis Drive Middle,M,65,  7.2%,,,,,,,,,,,,,,,,
920393,Dillard Drive Elementary,E,302, 49.0%,,,,,,,,,,,,,,,,
920394,Dillard Drive Middle,M,432, 41.8%,,,,,,,,,,,,,,,,
920396,Douglas Elementary,E,175, 29.0%,,,,,,,,,,,,,,,,
920398,Durant Road Elementary,E,292, 44.8%,,,,,,,,,,,,,,,,
920399,Durant Road Middle,M,386, 44.1%,,,,,,,,,,,,,,,,
920402,East Cary Middle,M,225, 36.1%,,,,,,,,,,,,,,,,
920403,East Garner Elementary,E,336, 66.1%,,,,,,,,,,,,,,,,
920404,East Garner Middle,M,746, 57.1%,,,,,,,,,,,,,,,,
920408,East Millbrook Middle,M,461, 62.3%,,,,,,,,,,,,,,,,
920411,East Wake High,H,630, 47.4%,,,,,,,,,,,,,,,,
920412,Enloe High,H,487, 20.5%,,,,,,,,,,,,,,,,
920414,Farmington Woods Elementary,E,168, 25.4%,,,,,,,,,,,,,,,,
920417,Forest Pines Drive Elementary,E,249, 42.1%,,,,,,,,,,,,,,,,
920413,Forestville Road Elementary,E,290, 58.9%,,,,,,,,,,,,,,,,
920415,Fox Road Elementary,E,206, 54.4%,,,,,,,,,,,,,,,,
920416,Fuller Elementary,E,134, 32.3%,,,,,,,,,,,,,,,,
920420,Fuquay-Varina Elementary,E,146, 26.4%,,,,,,,,,,,,,,,,
920428,Fuquay-Varina High,H,506, 20.3%,,,,,,,,,,,,,,,,
920424,Fuquay-Varina Middle,M,270, 25.1%,,,,,,,,,,,,,,,,
920436,Garner High,H,566, 33.6%,,,,,,,,,,,,,,,,
920440,Green Elementary,E,276, 53.4%,,,,,,,,,,,,,,,,
920439,Green Hope Elementary,E,36,  5.7%,,,,,,,,,,,,,,,,
920441,Green Hope High,H,124,  5.5%,,,,,,,,,,,,,,,,
920437,Green Level High,H,47,  3.4%,,,,,,,,,,,,,,,,
920451,Harris Creek Elementary,E,286, 32.5%,,,,,,,,,,,,,,,,
920306,Herbert Akins Rd Elementary,E,155, 18.2%,,,,,,,,,,,,,,,,
920454,Heritage Elementary,E,137, 19.8%,,,,,,,,,,,,,,,,
920445,Heritage High,H,318, 16.8%,,,,,,,,,,,,,,,,
920444,Heritage Middle,M,129, 10.8%,,,,,,,,,,,,,,,,
920443,Highcroft Elementary,E,36,  4.4%,,,,,,,,,,,,,,,,
920442,Hilburn Drive Academy,EM,150, 22.6%,,,,,,,,,,,,,,,,
920446,Hodge Road Elementary,E,247, 51.0%,,,,,,,,,,,,,,,,
920457,Holly Grove Elementary,E,72,  7.7%,,,,,,,,,,,,,,,,
920458,Holly Grove Middle,M,335, 19.9%,,,,,,,,,,,,,,,,
920449,Holly Ridge Elementary,E,100, 13.5%,,,,,,,,,,,,,,,,
920450,Holly Ridge Middle,M,253, 23.3%,,,,,,,,,,,,,,,,
920447,Holly Springs Elementary,E,131, 15.5%,,,,,,,,,,,,,,,,
920455,Holly Springs High,H,231,  9.8%,,,,,,,,,,,,,,,,
920459,Hortons Creek Elementary School,E,64,  7.5%,,,,,,,,,,,,,,,,
920448,Hunter Elementary,E,143, 23.6%,,,,,,,,,,,,,,,,
920452,Jeffreys Grove Elementary,E,86, 16.5%,,,,,,,,,,,,,,,,
920453,Jones Dairy Elementary,E,61, 10.1%,,,,,,,,,,,,,,,,
920456,Joyner Elementary,E,140, 23.5%,,,,,,,,,,,,,,,,
920460,Kingswood Elementary,E,161, 41.0%,,,,,,,,,,,,,,,,
920464,Knightdale Elementary,E,350, 62.5%,,,,,,,,,,,,,,,,
920466,Knightdale High,H,755, 47.3%,,,,,,,,,,,,,,,,
920468,Lacy Elementary,E,137, 20.5%,,,,,,,,,,,,,,,,
920474,Lake Myra Elementary,E,232, 42.2%,,,,,,,,,,,,,,,,
920467,Laurel Park Elementary,E,102, 12.1%,,,,,,,,,,,,,,,,
920470,Lead Mine Elementary,E,159, 34.5%,,,,,,,,,,,,,,,,
920469,Leesville Road Elementary,E,140, 22.2%,,,,,,,,,,,,,,,,
920473,Leesville Road High,H,411, 15.5%,,,,,,,,,,,,,,,,
920471,Leesville Road Middle,M,221, 26.9%,,,,,,,,,,,,,,,,
920472,Ligon Middle,M,240, 24.7%,,,,,,,,,,,,,,,,
920476,Lincoln Heights Elementary,E,150, 31.3%,,,,,,,,,,,,,,,,
920480,Lockhart Elementary,E,273, 58.5%,,,,,,,,,,,,,,,,
920324,Longview School,S,24, 70.6%,,,,,,,,,,,,,,,,
920484,Lufkin Road Middle,M,268, 23.8%,,,,,,,,,,,,,,,,
920488,Lynn Road Elementary,E,203, 41.0%,,,,,,,,,,,,,,,,
920492,Martin Middle,M,255, 25.4%,,,,,,,,,,,,,,,,
